,State_Abbr,Year,Crop_Name,Price_Received_USD_kg,Crop_Area_ha,Production_kg,FIPS,kcal_kg,Production_kcal,Production_USD,crop_code,state_pixels,kcal_pixel_state
151,NC,2017,CUCUMBERS-ALL CLASSES,0.3791953968,4249.29178470255,76203456.0,37,146.0,11125704576.0,26967218.5417376,crop_50,4106.0,2709621.1826595226
152,NC,2017,BARLEY-ALL CLASSES,0.172756945452,4046.94455685957,16605083.7333333,37,3530.0,58615945578.6667,2677164.24756829,crop_21,4740.0,12366233.244444452
153,NC,2017,CORN-ALL CLASSES-GRAIN,0.16692124856,339943.342776204,3029855136.0,37,3650.0,11058971246400.0,471989045.369681,crop_1,4413369.0,2505788.94409237
154,NC,2017,OATS-ALL CLASSES,0.1791250422,4046.94455685957,9579900.0,37,3890.0,37265811000.0,1601458.58317391,crop_28,3249.0,11469932.594644506
155,NC,2017,PEANUTS-ALL CLASSES,0.522590460954,47349.251315257,217548747.0,37,5670.0,1233501395490.0,106100271.299005,crop_10,330659.0,3730433.45407202
156,NC,2017,POTATOES-ALL CLASSES,0.2513271816,6110.88628085795,157532501.6,37,578.0,91053785924.8,36949457.0164793,crop_43,9994.0,9110845.099539723
157,NC,1999,RYE-ALL CLASSES,0.08621639961,11331.4447592068,16358372.8,37,3380.0,55291300064.0,2164271.96087823,crop_27,34309.0,1611568.394998397
158,NC,2017,SORGHUM-ALL CLASSES-GRAIN,0.143300586,6879.80574666127,23750122.0,37,3290.0,78137901380.0,3176232.17815757,crop_4,29209.0,2675131.000034236
159,NC,2017,SOYBEANS-ALL CLASSES,0.3490657865,683933.630109267,1839767800.0,37,4460.0,8205364388000.0,599333739.843885,crop_5,6975490.0,1176313.6909378408
160,NC,2017,SWEET POTATOES-ALL CLASSES,0.3373075332,36220.1537838932,893122648.0,37,619.0,552842919112.0,281148371.962495,crop_46,305824.0,1807715.9382913047
161,NC,2017,WHEAT-ALL CLASSES,0.1726957049,151760.420882234,561319687.5,37,3338.0,1873685116875.0,90467010.9095556,crop_22,0.0,
162,NC,2017,CABBAGE-ALL CLASSES,0.3328982844,1092.67503035208,34291555.2,37,200.0,6858311040.0,10653619.1855295,crop_243,1942.0,3531571.081359423
